PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA
DaRon Holmes II,DEN,0,0.0,0.0,0.0,0.0
Zeke Nnaji,DEN,0,0.0,0.0,0.0,0.0
Peyton Watson,DEN,0,0.0,0.0,0.0,0.0
Tamar Bates,DEN,0,0.0,0.0,0.0,0.0
Aaron Gordon,DEN,0,0.0,0.0,0.0,0.0
Curtis Jones,DEN,0,0.0,0.0,0.0,0.0
Spencer Jones,DEN,0,0.0,0.0,0.0,0.0
Ty Jerome,MEM,28,26.2,1.9,13.3,41.4
GG Jackson II,MEM,39,28.9,9.5,5.7,44.1
Olivier-Maxence Prosper,MEM,30,19.3,9.5,0.0,28.8
Jahmai Mashack,MEM,29,12.4,5.7,3.8,21.900000000000002
Jaylen Wells,MEM,33,23.4,1.9,0.0,25.299999999999997
Cam Spencer,MEM,29,3.8,3.8,12.4,20.0
Kentavious Caldwell-Pope,MEM,36,9.5,5.7,3.8,19.0
Kyle Anderson,MEM,25,11.0,5.7,1.9,18.599999999999998
Scotty Pippen Jr.,MEM,23,11.0,0.0,5.7,16.7
Taylor Hendricks,MEM,26,13.8,3.8,1.9,19.5
Lawson Lovering,MEM,23,5.7,7.6,0.0,13.3
Walter Clayton Jr.,MEM,0,0.0,0.0,0.0,0.0
Santi Aldama,MEM,0,0.0,0.0,0.0,0.0
Brandon Clarke,MEM,0,0.0,0.0,0.0,0.0
Cedric Coward,MEM,0,0.0,0.0,0.0,0.0
Zach Edey,MEM,0,0.0,0.0,0.0,0.0
Ja Morant,MEM,0,0.0,0.0,0.0,0.0
Javon Small,MEM,0,0.0,0.0,0.0,0.0
Jalen Williams,OKC,26,38.6,7.6,9.5,55.7
Jaylin Williams,OKC,39,15.1,11.4,9.5,36.0
Kenrich Williams,OKC,32,20.7,11.4,3.8,35.9
Isaiah Joe,OKC,25,28.9,1.9,1.9,32.699999999999996
Aaron Wiggins,OKC,34,16.5,5.7,3.8,26.0
Isaiah Hartenstein,OKC,23,11.0,7.6,11.4,30.0
Jared McCain,OKC,30,16.5,7.6,1.9,26.0
Chet Holmgren,OKC,28,17.9,7.6,3.8,29.3
Cason Wallace,OKC,36,7.6,7.6,5.7,20.9
Luguentz Dort,OKC,32,12.4,0.0,1.9,14.3
Buddy Boeheim,OKC,13,5.7,0.0,0.0,5.7
Alex Caruso,OKC,13,0.0,1.9,0.0,1.9
Brooks Barnhizer,OKC,0,0.0,0.0,0.0,0.0
Branden Carlson,OKC,0,0.0,0.0,0.0,0.0
Shai Gilgeous-Alexander,OKC,0,0.0,0.0,0.0,0.0
Ajay Mitchell,OKC,0,0.0,0.0,0.0,0.0
Thomas Sorber,OKC,0,0.0,0.0,0.0,0.0
Nikola Topić,OKC,0,0.0,0.0,0.0,0.0
Dillon Brooks,PHO,33,31.7,9.5,7.6,48.800000000000004
Jamaree Bouyea,PHO,36,15.1,5.7,11.4,32.2
Jordan Goodwin,PHO,37,16.5,7.6,7.6,31.700000000000003
Oso Ighodaro,PHO,22,11.0,7.6,3.8,22.400000000000002
Amir Coffey,PHO,28,12.4,9.5,3.8,25.7
Collin Gillespie,PHO,30,11.4,9.5,5.7,26.599999999999998
Royce O'Neale,PHO,32,16.5,3.8,3.8,24.1
Khaman Maluach,PHO,17,11.4,11.4,0.0,22.8
Rasheer Fleming,PHO,26,11.0,5.7,3.8,20.5
Ryan Dunn,PHO,30,3.8,7.6,1.9,13.299999999999999
Koby Brea,PHO,13,11.4,1.9,0.0,13.3
Mark Williams,PHO,21,11.4,1.9,0.0,13.3
Grayson Allen,PHO,0,0.0,0.0,0.0,0.0
Cole Anthony,PHO,0,0.0,0.0,0.0,0.0
Devin Booker,PHO,0,0.0,0.0,0.0,0.0
Jalen Green,PHO,0,0.0,0.0,0.0,0.0
Isaiah Livers,PHO,0,0.0,0.0,0.0,0.0
Devin Carter,SAC,40,26.2,9.5,7.6,43.300000000000004
Nique Clifford,SAC,52,11.4,11.0,11.4,33.8
DeMar DeRozan,SAC,40,27.5,5.7,1.9,35.1
Daeqwon Plowden,SAC,44,12.4,11.4,7.6,31.4
Dylan Cardwell,SAC,36,11.4,13.8,5.7,30.900000000000002
Maxime Raynaud,SAC,37,13.3,7.6,1.9,22.799999999999997
Doug McDermott,SAC,25,19.3,0.0,0.0,19.3
Precious Achiuwa,SAC,22,11.4,9.5,1.9,22.799999999999997
Isaiah Stevens,SAC,28,11.4,1.9,7.6,20.9
Drew Eubanks,SAC,0,0.0,0.0,0.0,0.0
De'Andre Hunter,SAC,0,0.0,0.0,0.0,0.0
Domantas Sabonis,SAC,0,0.0,0.0,0.0,0.0
Zach LaVine,SAC,0,0.0,0.0,0.0,0.0
Malik Monk,SAC,0,0.0,0.0,0.0,0.0
Keegan Murray,SAC,0,0.0,0.0,0.0,0.0
Russell Westbrook,SAC,0,0.0,0.0,0.0,0.0
Lauri Markkanen,UTA,28,26.2,13.3,5.7,45.2
Jaren Jackson Jr.,UTA,30,31.7,7.6,3.8,43.099999999999994
Isaiah Collier,UTA,36,16.5,1.9,19.3,37.7
Jusuf Nurkić,UTA,36,11.0,12.4,7.6,31.0
Vince Williams Jr.,UTA,29,12.4,11.0,5.7,29.099999999999998
Cody Williams,UTA,34,12.4,9.5,3.8,25.7
Ace Bailey,UTA,41,17.9,7.6,7.6,33.1
Brice Sensabaugh,UTA,33,26.2,3.8,0.0,30.0
Kevin Love,UTA,21,9.5,12.4,1.9,23.799999999999997
John Konchar,UTA,26,0.0,1.9,0.0,1.9
Kyle Filipowski,UTA,11,7.6,3.8,1.9,13.299999999999999
Elijah Harkless,UTA,0,0.0,0.0,0.0,0.0
Blake Hinson,UTA,0,0.0,0.0,0.0,0.0
Svi Mykhailiuk,UTA,0,0.0,0.0,0.0,0.0
Oscar Tshiebwe,UTA,0,0.0,0.0,0.0,0.0
Keyonte George,UTA,0,0.0,0.0,0.0,0.0
Walker Kessler,UTA,0,0.0,0.0,0.0,0.0
Draymond Green,GS,40,23.4,16.5,11.0,50.9
Gui Santos,GS,40,12.4,9.5,11.4,33.3
De'Anthony Melton,GS,34,23.4,5.7,13.3,42.4
Brandin Podziemski,GS,48,22.0,9.5,3.8,35.3
Moses Moody,GS,48,23.4,7.6,3.8,34.8
Gary Payton II,GS,19,13.8,0.0,9.5,23.3
Quinten Post,GS,18,16.5,5.7,3.8,26.0
Pat Spencer,GS,41,12.4,7.6,7.6,27.6
Al Horford,GS,36,11.4,7.6,1.9,20.9
Kristaps Porzingis,GS,0,0.0,0.0,0.0,0.0
Will Richard,GS,0,0.0,0.0,0.0,0.0
Jimmy Butler III,GS,0,0.0,0.0,0.0,0.0
L.J. Cryer,GS,0,0.0,0.0,0.0,0.0
Seth Curry,GS,0,0.0,0.0,0.0,0.0
Stephen Curry,GS,0,0.0,0.0,0.0,0.0
Malevy Leons,GS,0,0.0,0.0,0.0,0.0
Victor Wembanyama,SA,45,35.8,12.4,7.6,55.8
De'Aaron Fox,SA,44,37.2,0.0,11.0,48.2
Keldon Johnson,SA,40,28.9,11.4,3.8,44.099999999999994
Dylan Harper,SA,40,19.3,9.5,11.0,39.8
Harrison Barnes,SA,29,13.8,9.5,5.7,29.0
Carter Bryant,SA,12,11.0,9.5,1.9,22.4
Stephon Castle,SA,29,11.0,7.6,7.6,26.200000000000003
Luke Kornet,SA,21,7.6,5.7,3.8,17.1
Devin Vassell,SA,39,11.0,7.6,3.8,22.400000000000002
Julian Champagnie,SA,26,0.0,5.7,1.9,7.6
Bismack Biyombo,SA,0,0.0,0.0,0.0,0.0
Jordan McLaughlin,SA,0,0.0,0.0,0.0,0.0
Kelly Olynyk,SA,0,0.0,0.0,0.0,0.0
Harrison Ingram,SA,0,0.0,0.0,0.0,0.0
David Jones-Garcia,SA,0,0.0,0.0,0.0,0.0
Stanley Umude,SA,0,0.0,0.0,0.0,0.0
Lindy Waters III,SA,0,0.0,0.0,0.0,0.0
