PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,prop_line,projected_PRA,edge
VJ Edgecombe,PHI,44,19.3,7.6,3.8,30.7,29.2,38.493004,9.293003845214844
Trendon Watford,PHI,33,11.4,7.6,7.6,26.6,25.1,30.055384,4.955383682250975
Kelly Oubre Jr.,PHI,41,3.8,13.3,7.6,24.700000000000003,23.200000000000003,38.55782,15.357819366455075
Adem Bona,PHI,30,11.4,9.5,0.0,20.9,19.4,27.55597,8.155969238281251
MarJon Beauchamp,PHI,22,11.0,5.7,1.9,18.6,17.1,19.489202,2.389202499389647
Justin Edwards,PHI,30,7.6,5.7,1.9,15.2,13.7,27.55597,13.85596923828125
Johni Broome,PHI,11,0.0,1.9,0.0,1.9,0.3999999999999999,9.844763,9.444762802124023
Dalen Terry,PHI,11,0.0,1.9,1.9,3.8,2.3,9.844763,7.544762802124024
RJ Barrett,TOR,41,22.0,5.7,7.6,35.3,33.8,38.55782,4.757819366455081
Jakob Poeltl,TOR,28,12.4,11.4,0.0,23.8,22.3,27.38701,5.08701057434082
Ja'Kobe Walter,TOR,25,5.7,5.7,5.7,17.1,15.600000000000001,28.158054,12.55805435180664
Brandon Ingram,TOR,44,17.9,0.0,0.0,17.9,16.4,38.493004,22.093003845214845
Gradey Dick,TOR,22,13.8,3.8,0.0,17.6,16.1,19.489202,3.389202499389647
Trayce Jackson-Davis,TOR,12,0.0,5.7,1.9,7.6,6.1,8.9760275,2.8760274887084964
Jamal Shead,TOR,32,0.0,3.8,5.7,9.5,8.0,23.172539,15.172538757324219
Jamison Battle,TOR,6,0.0,0.0,0.0,0.0,-1.5,1.5825354,3.0825353860855103
Jabari Smith Jr.,HOU,48,22.0,16.5,0.0,38.5,37.0,40.500607,3.5006065368652344
Tari Eason,HOU,45,17.9,3.8,5.7,27.4,25.9,49.215794,23.315793609619142
Clint Capela,HOU,22,5.7,9.5,0.0,15.2,13.7,19.489202,5.789202499389649
Jae'Sean Tate,HOU,17,7.6,1.9,1.9,11.4,9.9,15.068336,5.1683355331420895
Josh Okogie,HOU,12,0.0,0.0,0.0,0.0,-1.5,8.9760275,10.476027488708496
Bennedict Mathurin,LAC,43,22.0,5.7,5.7,33.4,31.9,34.650566,2.75056610107422
Kris Dunn,LAC,50,22.0,3.8,11.4,37.2,35.7,47.974438,12.274437713623044
Derrick Jones Jr.,LAC,41,16.5,1.9,5.7,24.1,22.6,38.55782,15.957819366455077
John Collins,LAC,48,16.5,11.4,1.9,29.8,28.3,40.500607,12.200606536865234
Yanic Konan Niederhauser,LAC,14,0.0,5.7,0.0,5.7,4.2,11.399119,7.19911937713623
Jordan Miller,LAC,23,7.6,5.7,0.0,13.3,11.8,19.663315,7.863314819335937
Simone Fontecchio,MIA,36,20.7,7.6,1.9,30.2,28.7,31.433765,2.733765411376954
Kasparas Jakucionis,MIA,34,15.1,5.7,7.6,28.4,26.9,34.50938,7.609380340576173
Davion Mitchell,MIA,37,12.4,1.9,9.5,23.8,22.3,33.43345,11.133448791503906
Nikola Jović,MIA,23,11.0,1.9,0.0,12.9,11.4,19.663315,8.263314819335937
Anthony Edwards,MIN,44,19.3,7.6,3.8,30.7,29.2,38.493004,9.293003845214844
Ayo Dosunmu,MIN,39,16.5,1.9,7.6,26.0,24.5,33.74957,9.249568939208984
Donte DiVincenzo,MIN,40,5.7,7.6,9.5,22.8,21.3,34.145245,12.845244598388671
Zion Williamson,NO,45,34.4,7.6,5.7,47.7,46.2,49.215794,3.015793609619138
Saddiq Bey,NO,50,19.3,12.4,7.6,39.3,37.8,47.974438,10.17443771362305
Derik Queen,NO,43,16.5,9.5,0.0,26.0,24.5,34.650566,10.150566101074219
Herbert Jones,NO,44,13.3,7.6,3.8,24.7,23.2,38.493004,15.293003845214844
Karlo Matković,NO,18,5.7,0.0,1.9,7.6,6.1,19.133827,13.033827209472657
Donovan Clingan,POR,37,11.0,12.4,1.9,25.3,23.8,33.43345,9.633448791503906
Toumani Camara,POR,44,12.4,11.0,3.8,27.2,25.7,38.493004,12.793003845214844
Deni Avdija,POR,36,15.1,9.5,5.7,30.3,28.8,31.433765,2.6337654113769524
Jerami Grant,POR,40,13.8,7.6,3.8,25.2,23.7,34.145245,10.445244598388673
Rayan Rupert,POR,12,3.8,1.9,0.0,5.699999999999999,4.199999999999999,8.9760275,4.776027488708497
